,data.1,engorgement,stage,host,species,depth,host.temp
49,0.25,0.05,nymph,Dog,Groundhog,63.3,101.2555556
50,0.29,0.058,nymph,Fox,Western Blacklegged,60.7,100.9666667
51,0.24,0.048,nymph,Racoon,Rocky Mountain Wood,60.9,100.9888889
52,0.23,0.046,adult female,Bird,Gulf Coast,61.9,101.1
53,0.32,0.064,adult female,Cat,Rocky Mountain Wood,60.9,100.9888889
54,0.22,0.044,adult male,Dog,Groundhog,61.6,101.0666667
55,0.22,0.044,adult male,Squirrel,Groundhog,59.3,100.8111111
56,0.3,0.06,adult female,Cat,Western Blacklegged,61,101
57,0.3,0.06,adult male,Deer,Western Blacklegged,59.3,100.8111111
58,0.3,0.06,nymph,Cat,Rocky Mountain Wood,62.6,101.1777778
59,0.3,0.06,nymph,Cat,Rocky Mountain Wood,63,101.2222222
60,0.3,0.06,larvae,Cat,Rocky Mountain Wood,63.2,101.2444444
61,0.35,0.07,adult female,Cat,Gulf Coast,60.9,100.9888889
62,0.3,0.06,adult male,Squirrel,Rocky Mountain Wood,62.6,101.1777778
63,0.3,0.06,adult female,Squirrel,Rocky Mountain Wood,62.5,101.1666667
64,0.3,0.06,adult female,Squirrel,Rocky Mountain Wood,62.1,101.1222222
65,0.42,0.084,adult male,Cat,Western Blacklegged,61.5,101.0555556
66,0.28,0.056,adult female,Bird,Brown Dog,61.4,101.0444444
67,0.32,0.064,adult female,Cat,American Dog,62,101.1111111
68,0.31,0.062,nymph,Bird,Rocky Mountain Wood,63.3,101.2555556
69,0.31,0.062,adult male,Bird,Rocky Mountain Wood,61.8,101.0888889
70,0.24,0.048,adult male,Dog,American Dog,60.7,100.9666667
71,0.24,0.048,nymph,Squirrel,American Dog,61.5,101.0555556
72,0.3,0.06,nymph,Fox,Rocky Mountain Wood,63.1,101.2333333
73,0.3,0.06,adult male,Fox,Rocky Mountain Wood,62.9,101.2111111
74,0.3,0.06,adult male,Fox,Rocky Mountain Wood,62.5,101.1666667
75,0.3,0.06,larvae,Fox,Rocky Mountain Wood,63.7,101.3
76,0.26,0.052,nymph,Racoon,Brown Dog,59.2,100.8
77,0.26,0.052,nymph,Dog,Brown Dog,59.9,100.8777778
78,0.26,0.052,nymph,Squirrel,Brown Dog,62.4,101.1555556
79,0.26,0.052,nymph,Squirrel,Brown Dog,62.8,101.2
80,0.26,0.052,nymph,Dog,American Dog,62.6,101.1777778
81,0.26,0.052,nymph,Dog,American Dog,63.4,101.2666667
82,0.26,0.052,nymph,Squirrel,American Dog,62.1,101.1222222
83,0.26,0.052,adult female,Dog,Brown Dog,62.9,101.2111111
84,0.38,0.076,adult female,Cat,Western Blacklegged,61.6,101.0666667
85,0.26,0.052,larvae,Dog,American Dog,57.9,100.6555556
86,0.24,0.048,adult male,Bird,American Dog,62.3,101.1444444
87,0.24,0.048,adult male,Fox,American Dog,61.2,101.0222222
88,0.24,0.048,adult male,Fox,American Dog,60.8,100.9777778
89,0.24,0.048,adult male,Fox,Brown Dog,60.7,100.9666667
90,0.32,0.064,adult male,Cat,Rocky Mountain Wood,62.9,101.2111111
91,0.7,0.14,adult female,Dog,Rocky Mountain Wood,62.5,101.1666667
92,0.86,0.172,eggs,Dog,Western Blacklegged,55.1,100.3444444
93,0.7,0.14,adult female,Bird,Groundhog,61.6,101.0666667
94,0.71,0.142,nymph,Dog,Groundhog,62.4,101.1555556
95,0.78,0.156,nymph,Bird,Western Blacklegged,63.8,101.3111111
96,0.7,0.14,larvae,Dog,Groundhog,57.5,100.6111111
97,0.7,0.14,larvae,Racoon,Gulf Coast,59.4,100.8222222
98,0.96,0.192,eggs,Racoon,Western Blacklegged,66.3,101.5888889
99,0.73,0.146,nymph,Dog,Rocky Mountain Wood,61.6,101.0666667
100,0.8,0.16,adult male,Fox,Rocky Mountain Wood,61.5,101.0555556
101,0.75,0.15,nymph,Squirrel,Rocky Mountain Wood,63.2,101.2444444
102,0.75,0.15,adult male,Dog,Rocky Mountain Wood,59.9,100.8777778
103,0.74,0.148,adult female,Bird,Rocky Mountain Wood,61.6,101.0666667
104,0.75,0.15,adult male,Bird,Groundhog,61.7,101.0777778
105,0.8,0.16,adult female,Cat,Gulf Coast,62.9,101.2111111
106,0.75,0.15,adult female,Bird,Rocky Mountain Wood,62.2,101.1333333
107,0.8,0.16,adult male,Bird,Rocky Mountain Wood,63,101.2222222
108,0.74,0.148,adult female,Cat,Brown Dog,62.3,101.1444444
109,0.81,0.162,adult female,Racoon,Western Blacklegged,58.8,100.7555556
110,0.59,0.118,adult female,Dog,Brown Dog,62,101.1111111
111,0.8,0.16,adult female,Racoon,Western Blacklegged,61.4,101.0444444
112,0.74,0.148,adult female,Dog,Western Blacklegged,62.2,101.1333333
113,0.9,0.18,adult male,Cat,Groundhog,63,101.2222222
114,0.74,0.148,nymph,Bird,Rocky Mountain Wood,62.2,101.1333333
115,0.73,0.146,adult female,Racoon,Groundhog,62.6,101.1777778
116,0.73,0.146,adult female,Racoon,Groundhog,62.7,101.1888889
117,0.8,0.16,adult male,Racoon,Western Blacklegged,61.7,101.0777778
118,0.71,0.142,adult female,Bird,Groundhog,62.4,101.1555556
119,0.7,0.14,adult female,Dog,Groundhog,60.7,100.9666667
120,0.8,0.16,adult female,Racoon,Western Blacklegged,59.9,100.8777778
121,0.71,0.142,adult female,Squirrel,Western Blacklegged,62.3,101.1444444
122,0.74,0.148,adult female,Dog,Rocky Mountain Wood,62.3,101.1444444
123,0.7,0.14,nymph,Racoon,Groundhog,61.7,101.0777778
124,0.7,0.14,eggs,Racoon,Groundhog,64.5,101.3888889
125,0.7,0.14,eggs,Racoon,Groundhog,65.3,101.4777778
126,0.7,0.14,adult male,Racoon,Groundhog,61.6,101.0666667
127,0.91,0.182,adult male,Fox,Rocky Mountain Wood,61.4,101.0444444
128,0.61,0.122,nymph,Squirrel,Brown Dog,59.6,100.8444444
129,0.91,0.182,eggs,Fox,Western Blacklegged,64.4,101.3777778
130,0.91,0.182,eggs,Fox,Western Blacklegged,65.7,101.5222222
131,0.77,0.154,adult female,Fox,Groundhog,62,101.1111111
132,0.71,0.142,nymph,Squirrel,Rocky Mountain Wood,63.6,101.2888889
133,0.71,0.142,adult female,Squirrel,Rocky Mountain Wood,61.9,101.1
134,0.7,0.14,nymph,Dog,Groundhog,62.6,101.1777778
135,0.77,0.154,nymph,Fox,Gulf Coast,61.3,101.0333333
136,0.63,0.126,adult male,Dog,American Dog,60.9,100.9888889
137,0.71,0.142,nymph,Racoon,Gulf Coast,60.1,100.9
138,0.71,0.142,adult male,Racoon,Gulf Coast,61.8,101.0888889
139,0.76,0.152,adult female,Fox,Rocky Mountain Wood,61.2,101.0222222
140,0.64,0.128,adult female,Bird,American Dog,61.9,101.1
141,0.71,0.142,adult male,Bird,Groundhog,60.9,100.9888889
142,0.71,0.142,adult male,Bird,Groundhog,59.8,100.8666667
143,0.7,0.14,nymph,Squirrel,Groundhog,61.8,101.0888889
144,0.7,0.14,nymph,Racoon,Gulf Coast,60,100.8888889
145,0.71,0.142,adult female,Squirrel,Western Blacklegged,61.6,101.0666667
146,0.7,0.14,larvae,Fox,Brown Dog,62.1,101.1222222
147,0.71,0.142,nymph,Bird,Gulf Coast,63.3,101.2555556
148,0.73,0.146,nymph,Squirrel,Rocky Mountain Wood,60.2,100.9111111
149,0.7,0.14,nymph,Squirrel,Rocky Mountain Wood,61.1,101.0111111
150,0.7,0.14,adult female,Dog,Rocky Mountain Wood,60.9,100.9888889
151,0.71,0.142,adult male,Squirrel,Western Blacklegged,61.7,101.0777778
152,0.74,0.148,adult female,Cat,Rocky Mountain Wood,61.3,101.0333333
153,0.71,0.142,adult male,Squirrel,Groundhog,62.5,101.1666667
154,0.73,0.146,adult male,Bird,Groundhog,61.4,101.0444444
155,0.76,0.152,nymph,Racoon,Rocky Mountain Wood,62.9,101.2111111
156,0.76,0.152,adult female,Squirrel,Western Blacklegged,62.4,101.1555556
157,0.71,0.142,adult female,Racoon,Rocky Mountain Wood,60.7,100.9666667
158,0.73,0.146,adult male,Bird,Groundhog,60.7,100.9666667
159,0.73,0.146,adult male,Bird,Gulf Coast,61.5,101.0555556
160,0.73,0.146,adult female,Squirrel,Western Blacklegged,59.9,100.8777778
161,0.73,0.146,adult male,Bird,Groundhog,59.2,100.8
162,0.72,0.144,nymph,Fox,Brown Dog,60.3,100.9222222
163,0.73,0.146,nymph,Racoon,Rocky Mountain Wood,61.7,101.0777778
164,0.71,0.142,adult female,Bird,Groundhog,61.9,101.1
165,0.79,0.158,adult female,Racoon,Western Blacklegged,61.9,101.1
166,0.73,0.146,nymph,Fox,American Dog,60.4,100.9333333
167,0.8,0.16,nymph,Racoon,Western Blacklegged,61,101
168,0.58,0.116,adult female,Bird,American Dog,61.5,101.0555556
169,0.58,0.116,adult female,Racoon,American Dog,61.7,101.0777778
170,0.71,0.142,larvae,Dog,Groundhog,59.2,100.8
171,0.75,0.15,adult female,Squirrel,Western Blacklegged,61.3,101.0333333
172,0.7,0.14,adult male,Squirrel,Groundhog,58,100.6666667
173,1.17,0.234,nymph,Deer,Lone Star,60.2,100.9111111
174,0.6,0.12,adult female,Dog,Gulf Coast,61.7,101.0777778
175,0.7,0.14,adult female,Dog,Rocky Mountain Wood,62.7,101.1888889
176,0.83,0.166,larvae,Cat,Groundhog,64.6,101.4
177,0.74,0.148,nymph,Racoon,Groundhog,61.3,101.0333333
178,0.72,0.144,nymph,Bird,Groundhog,63.7,101.3
179,0.71,0.142,adult male,Dog,Groundhog,62.7,101.1888889
180,0.71,0.142,adult female,Dog,Groundhog,62.2,101.1333333
181,0.54,0.108,adult female,Dog,Brown Dog,61.6,101.0666667
182,0.54,0.108,adult female,Dog,Brown Dog,61.5,101.0555556
183,0.72,0.144,adult female,Bird,Rocky Mountain Wood,61.8,101.0888889
184,0.72,0.144,adult female,Bird,Rocky Mountain Wood,60.7,100.9666667
185,0.72,0.144,larvae,Bird,Groundhog,59.7,100.8555556
186,0.71,0.142,adult female,Bird,Rocky Mountain Wood,60.5,100.9444444
187,0.7,0.14,nymph,Squirrel,Gulf Coast,62.7,101.1888889
188,0.71,0.142,adult male,Racoon,Groundhog,62.1,101.1222222
189,0.71,0.142,nymph,Racoon,Groundhog,62.8,101.2
190,0.71,0.142,larvae,Racoon,Groundhog,63.8,101.3111111
191,0.71,0.142,larvae,Racoon,Groundhog,57.8,100.6444444
192,0.7,0.14,adult female,Dog,Groundhog,62.1,101.1222222
193,0.7,0.14,adult male,Dog,Groundhog,61.1,101.0111111
194,0.7,0.14,adult male,Dog,Rocky Mountain Wood,60,100.8888889
195,0.7,0.14,adult male,Dog,Rocky Mountain Wood,61.2,101.0222222
196,0.7,0.14,adult male,Dog,Rocky Mountain Wood,62.7,101.1888889
197,0.7,0.14,adult male,Dog,Rocky Mountain Wood,61,101
198,0.7,0.14,adult male,Dog,Rocky Mountain Wood,61,101
199,0.7,0.14,adult female,Dog,Rocky Mountain Wood,61.4,101.0444444
200,0.72,0.144,adult male,Racoon,Rocky Mountain Wood,61.8,101.0888889
201,0.7,0.14,nymph,Dog,Rocky Mountain Wood,59.9,100.8777778
202,0.7,0.14,adult male,Dog,Rocky Mountain Wood,61.3,101.0333333
203,0.7,0.14,adult male,Dog,Rocky Mountain Wood,60.5,100.9444444
204,0.7,0.14,larvae,Dog,Groundhog,64.1,101.3444444
205,0.98,0.196,eggs,Fox,Western Blacklegged,67.9,101.7666667
206,0.78,0.156,adult male,Racoon,Rocky Mountain Wood,62.4,101.1555556
207,0.7,0.14,nymph,Dog,Rocky Mountain Wood,63.2,101.2444444
208,0.52,0.104,adult female,Racoon,American Dog,61.3,101.0333333
209,0.73,0.146,nymph,Fox,Groundhog,60.8,100.9777778
210,0.74,0.148,adult female,Dog,Rocky Mountain Wood,61.7,101.0777778
211,0.7,0.14,nymph,Racoon,Groundhog,63.6,101.2888889
212,0.77,0.154,adult male,Bird,Groundhog,61.2,101.0222222
213,0.71,0.142,adult female,Racoon,Groundhog,62.1,101.1222222
214,0.74,0.148,adult female,Bird,Gulf Coast,61.5,101.0555556
215,0.7,0.14,adult female,Bird,Gulf Coast,61.4,101.0444444
216,1.01,0.202,adult male,Racoon,Lone Star,61.8,101.0888889
217,0.77,0.154,adult female,Fox,Rocky Mountain Wood,62.2,101.1333333
218,0.78,0.156,adult female,Fox,Rocky Mountain Wood,61.2,101.0222222
219,0.72,0.144,nymph,Fox,Gulf Coast,60.6,100.9555556
220,0.53,0.106,nymph,Squirrel,Brown Dog,57.5,100.6111111
221,0.76,0.152,adult female,Bird,Groundhog,61.3,101.0333333
222,0.7,0.14,larvae,Dog,Gulf Coast,57.2,100.5777778
223,0.7,0.14,adult male,Dog,Gulf Coast,62.9,101.2111111
224,0.75,0.15,nymph,Squirrel,Western Blacklegged,63.1,101.2333333
225,0.72,0.144,adult female,Squirrel,Rocky Mountain Wood,60.8,100.9777778
226,0.72,0.144,adult male,Squirrel,Rocky Mountain Wood,62.7,101.1888889
227,0.7,0.14,adult male,Squirrel,Rocky Mountain Wood,62.8,101.2
228,0.84,0.168,eggs,Bird,Rocky Mountain Wood,55.1,100.3444444
229,0.75,0.15,adult male,Racoon,Rocky Mountain Wood,61.4,101.0444444
230,0.52,0.104,adult female,Racoon,Blacklegged,62.2,101.1333333
231,0.72,0.144,nymph,Racoon,Groundhog,63,101.2222222
232,0.79,0.158,nymph,Fox,Gulf Coast,63.7,101.3
233,0.72,0.144,nymph,Racoon,Groundhog,63.6,101.2888889
234,0.51,0.102,adult female,Racoon,American Dog,62,101.1111111
235,0.64,0.128,adult female,Squirrel,Gulf Coast,61.5,101.0555556
236,0.7,0.14,nymph,Fox,American Dog,60.5,100.9444444
237,0.83,0.166,nymph,Cat,Gulf Coast,61.1,101.0111111
238,0.76,0.152,adult female,Cat,Brown Dog,61.8,101.0888889
239,0.71,0.142,larvae,Squirrel,Groundhog,63.3,101.2555556
240,0.77,0.154,larvae,Bird,Gulf Coast,59.4,100.8222222
241,0.71,0.142,adult female,Racoon,Rocky Mountain Wood,62.5,101.1666667
242,1.01,0.202,eggs,Dog,Lone Star,64.5,101.3888889
243,1.01,0.202,adult male,Fox,Western Blacklegged,62.7,101.1888889
244,0.77,0.154,larvae,Racoon,Rocky Mountain Wood,64.2,101.3555556
245,0.76,0.152,larvae,Dog,Rocky Mountain Wood,63.7,101.3
246,0.76,0.152,adult male,Dog,Rocky Mountain Wood,60.4,100.9333333
247,0.76,0.152,adult male,Dog,Rocky Mountain Wood,61.8,101.0888889
248,1.05,0.21,nymph,Deer,Western Blacklegged,63.2,101.2444444
249,0.81,0.162,adult female,Bird,Western Blacklegged,61.6,101.0666667
250,0.7,0.14,adult female,Dog,Rocky Mountain Wood,61.6,101.0666667
251,0.55,0.11,adult female,Bird,Blacklegged,60.9,100.9888889
252,0.81,0.162,larvae,Bird,Western Blacklegged,61,101
253,0.63,0.126,adult male,Dog,Brown Dog,62.1,101.1222222
254,0.63,0.126,adult male,Dog,American Dog,60.9,100.9888889
255,0.77,0.154,adult male,Fox,Gulf Coast,61.3,101.0333333
256,1.05,0.21,eggs,Deer,Western Blacklegged,65.8,101.5333333
257,0.64,0.128,adult female,Bird,Blacklegged,61.3,101.0333333
258,0.76,0.152,adult male,Cat,American Dog,58.8,100.7555556
259,0.83,0.166,adult female,Racoon,Western Blacklegged,62.3,101.1444444
260,0.71,0.142,adult male,Racoon,Gulf Coast,60.1,100.9
261,0.71,0.142,adult male,Racoon,Gulf Coast,61.8,101.0888889
262,0.87,0.174,nymph,Cat,Rocky Mountain Wood,63.6,101.2888889
263,0.73,0.146,adult female,Dog,Rocky Mountain Wood,62.2,101.1333333
264,0.71,0.142,adult male,Dog,Rocky Mountain Wood,59.2,100.8
265,0.71,0.142,adult male,Dog,Rocky Mountain Wood,61.8,101.0888889
266,0.71,0.142,adult female,Dog,Rocky Mountain Wood,61.3,101.0333333
267,0.7,0.14,adult male,Racoon,Gulf Coast,62.1,101.1222222
268,0.7,0.14,adult male,Racoon,Gulf Coast,60.7,100.9666667
269,0.76,0.152,adult male,Fox,Brown Dog,59.6,100.8444444
270,0.7,0.14,adult female,Racoon,Gulf Coast,62.2,101.1333333
271,0.79,0.158,nymph,Bird,Rocky Mountain Wood,60.6,100.9555556
272,0.7,0.14,nymph,Dog,Groundhog,62.9,101.2111111
273,0.7,0.14,larvae,Dog,Groundhog,64.1,101.3444444
274,0.76,0.152,adult female,Cat,Groundhog,61.3,101.0333333
275,0.73,0.146,adult female,Fox,Groundhog,62.7,101.1888889
276,0.79,0.158,nymph,Dog,Rocky Mountain Wood,63.2,101.2444444
277,0.71,0.142,nymph,Dog,Groundhog,60.7,100.9666667
278,0.81,0.162,adult male,Cat,Brown Dog,61.9,101.1
279,0.81,0.162,adult female,Racoon,Western Blacklegged,62.6,101.1777778
280,0.72,0.144,larvae,Racoon,Gulf Coast,60.7,100.9666667
281,0.72,0.144,adult male,Squirrel,Western Blacklegged,62,101.1111111
282,0.72,0.144,adult male,Cat,Blacklegged,63,101.2222222
283,0.81,0.162,adult male,Fox,Groundhog,58,100.6666667
284,0.72,0.144,adult male,Bird,Groundhog,62.9,101.2111111
285,1,0.2,adult male,Cat,Western Blacklegged,58.2,100.6888889
286,0.73,0.146,larvae,Dog,Rocky Mountain Wood,63.2,101.2444444
287,0.81,0.162,nymph,Fox,Western Blacklegged,61.3,101.0333333
288,0.81,0.162,nymph,Dog,Rocky Mountain Wood,60.3,100.9222222
289,0.71,0.142,adult male,Squirrel,Rocky Mountain Wood,62.7,101.1888889
290,0.71,0.142,adult male,Squirrel,Rocky Mountain Wood,61.3,101.0333333
291,0.71,0.142,adult male,Squirrel,Rocky Mountain Wood,61.6,101.0666667
292,0.57,0.114,adult female,Racoon,Brown Dog,61.9,101.1
293,0.51,0.102,adult female,Squirrel,American Dog,61.7,101.0777778
294,0.72,0.144,adult female,Bird,Groundhog,61.9,101.1
295,0.74,0.148,adult female,Fox,Gulf Coast,61.8,101.0888889
296,0.74,0.148,adult female,Fox,Gulf Coast,61.6,101.0666667
297,0.7,0.14,eggs,Bird,American Dog,58.8,100.7555556
298,0.8,0.16,adult male,Racoon,Western Blacklegged,61,101
299,1.01,0.202,eggs,Dog,Western Blacklegged,67.4,101.7111111
300,0.8,0.16,nymph,Fox,Groundhog,63.4,101.2666667
301,0.77,0.154,adult female,Cat,Gulf Coast,61.5,101.0555556
302,0.83,0.166,nymph,Dog,Western Blacklegged,58,100.6666667
303,0.82,0.164,adult female,Racoon,Western Blacklegged,62.4,101.1555556
304,0.78,0.156,adult female,Squirrel,Rocky Mountain Wood,61.9,101.1
305,0.6,0.12,nymph,Bird,Blacklegged,61.6,101.0666667
306,0.9,0.18,larvae,Cat,Western Blacklegged,62.2,101.1333333
307,0.7,0.14,adult male,Dog,Gulf Coast,62.2,101.1333333
308,0.9,0.18,nymph,Cat,Western Blacklegged,61.3,101.0333333
309,0.83,0.166,adult female,Bird,Rocky Mountain Wood,62.3,101.1444444
310,0.83,0.166,adult female,Bird,Rocky Mountain Wood,61.8,101.0888889
311,0.83,0.166,nymph,Fox,Rocky Mountain Wood,62.5,101.1666667
312,0.74,0.148,adult male,Bird,Gulf Coast,62.9,101.2111111
313,0.79,0.158,adult female,Cat,Gulf Coast,61.8,101.0888889
314,0.61,0.122,adult female,Bird,Blacklegged,62.3,101.1444444
315,0.76,0.152,eggs,Bird,Gulf Coast,59,100.7777778
316,0.96,0.192,adult female,Racoon,Lone Star,60.7,100.9666667
317,0.73,0.146,adult female,Racoon,Groundhog,62.5,101.1666667
318,0.73,0.146,adult male,Racoon,Groundhog,62.7,101.1888889
319,0.75,0.15,adult female,Fox,Rocky Mountain Wood,60.4,100.9333333
320,0.71,0.142,adult male,Racoon,Groundhog,62.1,101.1222222
321,0.71,0.142,larvae,Racoon,Groundhog,57.8,100.6444444
322,0.71,0.142,larvae,Racoon,Groundhog,63.8,101.3111111
323,0.71,0.142,adult male,Racoon,Groundhog,62.8,101.2
324,1.04,0.208,adult male,Bird,Lone Star,62.2,101.1333333
325,1,0.2,adult male,Deer,Western Blacklegged,62.3,101.1444444
326,0.87,0.174,nymph,Bird,Western Blacklegged,59.9,100.8777778
327,0.53,0.106,adult female,Racoon,Blacklegged,61.9,101.1
328,0.72,0.144,adult male,Dog,Groundhog,63,101.2222222
329,0.72,0.144,adult male,Racoon,Gulf Coast,62.4,101.1555556
330,0.7,0.14,nymph,Racoon,Groundhog,62.9,101.2111111
331,0.74,0.148,nymph,Dog,Rocky Mountain Wood,63.5,101.2777778
332,0.71,0.142,adult female,Bird,Groundhog,61.3,101.0333333
333,0.73,0.146,adult female,Dog,Rocky Mountain Wood,60.6,100.9555556
334,0.7,0.14,larvae,Bird,Gulf Coast,65.1,101.4555556
335,0.71,0.142,adult male,Racoon,Groundhog,62.6,101.1777778
336,0.71,0.142,adult male,Racoon,Groundhog,58,100.6666667
337,0.71,0.142,adult male,Bird,Gulf Coast,62.4,101.1555556
338,0.77,0.154,adult male,Bird,Groundhog,61.3,101.0333333
339,0.71,0.142,adult male,Bird,Groundhog,59.9,100.8777778
340,0.78,0.156,adult male,Bird,Groundhog,60.8,100.9777778
341,0.71,0.142,nymph,Bird,Gulf Coast,63.5,101.2777778
342,0.91,0.182,adult female,Squirrel,Western Blacklegged,62.2,101.1333333
343,0.71,0.142,nymph,Dog,Groundhog,63.8,101.3111111
344,0.71,0.142,nymph,Dog,Groundhog,64,101.3333333
345,0.8,0.16,nymph,Dog,Western Blacklegged,62.5,101.1666667
346,0.7,0.14,nymph,Squirrel,Rocky Mountain Wood,62.3,101.1444444
347,0.72,0.144,adult female,Racoon,Gulf Coast,61.7,101.0777778
348,0.72,0.144,nymph,Racoon,Gulf Coast,62.2,101.1333333
349,0.82,0.164,adult female,Fox,Groundhog,61.5,101.0555556
350,0.7,0.14,adult female,Squirrel,Rocky Mountain Wood,61,101
351,0.72,0.144,adult female,Squirrel,Rocky Mountain Wood,62.2,101.1333333
352,0.72,0.144,adult female,Squirrel,Rocky Mountain Wood,61.5,101.0555556
353,0.9,0.18,eggs,Cat,Rocky Mountain Wood,67.3,101.7
354,0.74,0.148,adult male,Racoon,Groundhog,61.7,101.0777778
355,0.74,0.148,adult male,Racoon,Groundhog,61.9,101.1
356,0.73,0.146,adult female,Dog,Western Blacklegged,61.8,101.0888889
357,0.57,0.114,eggs,Dog,American Dog,58.7,100.7444444
358,0.73,0.146,adult male,Racoon,Groundhog,62.5,101.1666667
359,0.72,0.144,adult female,Bird,Groundhog,62.8,101.2
360,0.74,0.148,eggs,Racoon,Groundhog,61.1,101.0111111
361,0.82,0.164,larvae,Bird,Groundhog,64,101.3333333
362,0.81,0.162,nymph,Bird,Rocky Mountain Wood,62.5,101.1666667
363,0.75,0.15,nymph,Fox,American Dog,60.6,100.9555556
364,0.7,0.14,adult female,Racoon,Rocky Mountain Wood,61.6,101.0666667
365,0.71,0.142,nymph,Racoon,Gulf Coast,62.2,101.1333333
366,0.71,0.142,nymph,Racoon,Gulf Coast,60,100.8888889
367,0.93,0.186,adult male,Deer,Western Blacklegged,61.9,101.1
368,0.8,0.16,nymph,Fox,Groundhog,62.8,101.2
369,0.7,0.14,nymph,Racoon,Gulf Coast,62,101.1111111
370,1,0.2,eggs,Bird,Lone Star,66.4,101.6
371,0.75,0.15,nymph,Bird,Groundhog,63.4,101.2666667
372,0.58,0.116,adult female,Dog,Brown Dog,60.9,100.9888889
373,0.73,0.146,nymph,Squirrel,Rocky Mountain Wood,63.1,101.2333333
374,0.81,0.162,nymph,Racoon,Rocky Mountain Wood,63.1,101.2333333
375,0.81,0.162,adult male,Squirrel,Western Blacklegged,59.2,100.8
376,0.71,0.142,adult male,Racoon,Rocky Mountain Wood,60.7,100.9666667
377,1.2,0.24,eggs,Racoon,Lone Star,64.6,101.4
378,0.7,0.14,nymph,Racoon,Gulf Coast,61.8,101.0888889
379,0.7,0.14,nymph,Racoon,Gulf Coast,59.9,100.8777778
380,0.74,0.148,adult female,Squirrel,Western Blacklegged,61.7,101.0777778
381,0.7,0.14,larvae,Racoon,Gulf Coast,62.8,101.2
382,0.8,0.16,larvae,Bird,Rocky Mountain Wood,62.7,101.1888889
